Match Group,Set,Target,Race,Gender,Age,Attractive,Luminance_median,NumberofRaters,Female_prop,Male_prop,Asian_prop,Black_prop,Latino_prop,Multi_prop,Other_prop,White_prop,Afraid,Angry,Babyface,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Nose_Width,Nose_Length,Lip_Thickness,Face_Length,R_Eye_H,L_Eye_H,Avg_Eye_Height,R_Eye_W,L_Eye_W,Avg_Eye_Width,Face_Width_Cheeks,Face_Width_Mouth,Forehead,Pupil_Top_R,Pupil_Top_L,Asymmetry_pupil_top,Pupil_Lip_R,Pupil_Lip_L,Asymmetry_pupil_lip,BottomLip_Chin,Midcheek_Chin_R,Midcheek_Chin_L,Cheeks_avg,Midbrow_Hairline_R,Midbrow_Hairline_L,Faceshape,Heartshapeness,Noseshape,LipFullness,EyeShape,EyeSize,UpperHeadLength,MidfaceLength,ChinLength,ForeheadHeight,CheekboneHeight,CheekboneProminence,FaceRoundness,fWHR
6,A,BF-235,B,F,29.75862069,3.724137931,116.5,29,0.965517241,0.034482759,0,0.965517241,0,0.034482759,0,0,2.827586207,3.142857143,2.321428571,2.821428571,2.896551724,4.379310345,1.571428571,1.965517241,3.613636364,2.896551724,.,2,2.068965517,3.5,2.75862069,236,235,156,1183.5,59.5,57.5,58.5,167,166,166.5,628,484.5,476,494.5,492.5,2,333.5,335.5,2,190.5,432.5,441,436.75,364.5,371.5,0.530629489,1.296181631,1.004255319,0.131812421,0.351351351,0.049429658,0.402196874,0.282636248,0.160963245,0.310942121,0.369032531,143.5,0.409378961,1.967105632
6,B,BF-028,B,F,22.62365591,3.731182796,97.5,93,1,0,0,1,0,0,0,0,1.559139785,1.677419355,3.623655914,1.52688172,1.851851852,4.655913978,3.688172043,1.64516129,4.214285714,1.827956989,4.576923077,1.619565217,1.569892473,4.075268817,1.935483871,234.5,206,165,1069.5,54,52.5,53.25,150,145.5,147.75,706,621.5,408.5,411,393.5,17.5,314.5,316.5,2,210,505.5,498.5,502,322,304,0.660121552,1.135961384,1.138349515,0.1542777,0.360406091,0.049789621,0.381954184,0.294997662,0.196353436,0.292660122,0.469378214,0.079008883,0.581112669,2.01
6,C,BF-050,B,F,22.375,3.791666667,105,96,0.979166667,0.020833333,0,0.989583333,0,0,0.010416667,0,2.510416667,3.431578947,2.635416667,3.094736842,3.107142857,4.760416667,2.385416667,2.114583333,3.863636364,2.452631579,4.08,2.71875,2.708333333,3.427083333,2.979166667,249,228,141,996.5,64.5,65,64.75,169.5,171.5,170.5,630.5,509,406.5,390,402,12,317,311,6,139.5,426,410.5,418.25,277.5,297.5,0.632714501,1.23870334,1.092105263,0.141495233,0.379765396,0.064977421,0.407927747,0.31510286,0.139989965,0.288509784,0.419719017,0.121926744,0.510787757,2
6,D,BF-215,B,F,31.56666667,3.857142857,96.5,30,1,0,0,0.966666667,0,0,0.033333333,0,1.933333333,2.766666667,1.633333333,2.2,3.233333333,4.733333333,1.866666667,2.133333333,4.113636364,1.933333333,.,1.733333333,2.366666667,2.933333333,1.9,278.5,264,174,1297.5,79.5,72,75.75,183.5,176,179.75,644.5,508.5,565.5,553.5,567.5,14,370,375,5,172.5,459.5,472,465.75,412,439.5,0.49672447,1.267453294,1.054924242,0.134104046,0.421418637,0.058381503,0.43583815,0.287090559,0.132947977,0.328131021,0.358959538,136,0.391907514,1.776016537
7,A,BF-023,B,F,30.75,2.857142857,112.5,92,1,0,0,0.945652174,0.010869565,0.010869565,0.032608696,0,2.989010989,2.747252747,2.032967033,2.32967033,2.807692308,3.911111111,1.835164835,2.384615385,3.34,3.307692308,4.230769231,2.153846154,2.373626374,3.230769231,2.263736264,228.5,229,131,1024,73,69,71,152.5,153.5,153,646,588.5,389,403,395,8,338.5,342.5,4,157.5,450,437.5,443.75,294,304.5,0.630859375,1.097706032,0.997816594,0.127929688,0.464052288,0.069335938,0.379882813,0.332519531,0.153808594,0.292236328,0.433349609,0.056152344,0.574707031,1.9
7,D,BF-231,B,F,39.77777778,2.888888889,96,27,1,0,0,0.962962963,0,0,0.037037037,0,2.148148148,3.037037037,1.888888889,2.555555556,3.62962963,3.814814815,2.185185185,3.037037037,4.19047619,2.592592593,.,1.888888889,2.962962963,3.481481481,2.692307692,257.5,243,177.5,1200,44,48,46,156,157,156.5,622.5,481,499,490,501,11,345.5,336.5,9,181,465.5,463.5,464.5,255.5,269.5,0.51875,1.294178794,1.059670782,0.147916667,0.293929712,0.038333333,0.415833333,0.284166667,0.150833333,0.21875,0.387083333,141.5,0.400833333,1.638346033
7,B,BF-047,B,F,34.21348315,2.909090909,93,89,1,0,0,0.95505618,0.011235955,0,0.033707865,0,2.204545455,2.988636364,1.727272727,2.829545455,4.16,3.852272727,2.306818182,2.840909091,4.066666667,2.625,3.8,1.829545455,2.818181818,3.386363636,2.551724138,268,250,105,1112.5,55.5,50,52.75,156.5,156,156.25,651,598.5,445,445,434,11,377.5,390.5,13,176.5,447.5,456.5,452,350.5,338.5,0.585168539,1.087719298,1.072,0.094382022,0.3376,0.04741573,0.4,0.345168539,0.158651685,0.309662921,0.406292135,0.047191011,0.537977528,1.78
7,C,BF-011,B,F,28.58510638,2.989247312,118,94,1,0,0,0.978723404,0.010638298,0.010638298,0,0,2.591397849,2.698924731,2.150537634,2.559139785,2.62962963,4.054945055,2.279569892,2.537634409,3.795454545,2.440860215,3.5,3.096774194,2.387096774,3.129032258,3.053763441,246.5,230,128.5,987.5,51,50.5,50.75,155.5,153.5,154.5,671.5,571,346.5,291,311,20,343.5,338,5.5,169.5,451,443,447,239.5,252,0.68,1.176007005,1.07173913,0.130126582,0.328478964,0.051392405,0.350886076,0.345063291,0.17164557,0.248860759,0.452658228,0.101772152,0.578227848,1.73
8,A,BF-210,B,F,24,4.074074074,129.5,27,1,0,0,0.962962963,0,0.037037037,0,0,1.555555556,1.555555556,2.814814815,1.814814815,2.111111111,4.962962963,3.538461538,1.62962963,3.5,1.68,.,1.777777778,1.592592593,4.076923077,3.148148148,257,260,167.5,1132.5,59,60,59.5,185,186,185.5,643.5,521.5,448,462.5,473.5,11,366,357.5,8.5,141,426.5,437,431.75,291.5,351.5,0.568211921,1.233940556,0.988461538,0.14790287,0.320754717,0.052538631,0.395584989,0.319426049,0.124503311,0.28388521,0.381236203,122,0.460485651,1.866151273
8,B,BF-243,B,F,30.70833333,4.08,128,25,1,0,0,0.96,0,0.04,0,0,1.88,2.4,2.04,1.958333333,2.92,4.68,2,1.68,3.146341463,2.28,.,1.44,1.88,3.72,2.24,281,268,120.5,1185.5,57.5,56.5,57,175.5,181,178.25,640,532,457,475.5,475.5,0,383,388.5,5.5,199.5,450,456,453,335,337.5,0.539856601,1.203007519,1.048507463,0.101644876,0.319775596,0.048080978,0.385491354,0.325390131,0.168283425,0.283635597,0.38211725,108,0.448755799,1.659506217
